year,fullname,firstname,lastname,position,Height,weight,fortyyd,vertical,broad,bench,college,nflgrade,round,pick
2007,Kevin Boss,Kevin,Boss,TE,6'7,252,4.78,35,116,N/A,Western Oregon,0,5,153
2007,Dwayne Bowe,Dwayne,Bowe,WR,6'2,221,4.51,33,125,N/A,LSU,0,1,23
2007,Tyron Brackenridge,Tyron,Brackenridge,CB,6'1,189,4.67,N/A,N/A,N/A,,N/A,Undrafted,Undrafted
2007,Stewart Bradley,Stewart,Bradley,OLB,6'4,254,4.72,35.5,112,28,Nebraska,0,3,87
2007,Ahmad Bradshaw,Ahmad,Bradshaw,RB,5'10,198,4.55,34,112,N/A,Marshall,0,7,250
2007,Alan Branch,Alan,Branch,DT,6'6,324,5.07,27.5,107,33,Michigan,0,2,33
2007,Steve Breaston,Steve,Breaston,WR,6'1,193,4.46,33,124,N/A,Michigan,0,5,142
2007,Larry Brown,Larry,Brown,DT,6'3,297,5.2,27,108,22,,0,12,320
2007,Levi Brown,Levi,Brown,OT,6'6,323,5.4,25.5,97,31,Penn State,0,7,209
2007,Tarell Brown,Tarell,Brown,CB,5'11,190,4.45,33.5,111,17,Texas,0,5,147
2007,Mkristo Bruce,Mkristo,Bruce,DE,6'6,268,5,29,106,21,,0,Undrafted,Undrafted
2007,Eldra Buckley,Eldra,Buckley,RB,5'10,202,4.56,35.5,120,14,,0,Undrafted,Undrafted
2007,Noland Burchette,Noland,Burchette,DE,6'2,259,4.73,N/A,N/A,15,,N/A,Undrafted,Undrafted
2007,Prescott Burgess,Prescott,Burgess,OLB,6'4,240,4.82,32.5,106,19,Michigan,0,6,207
2007,Adam Carriker,Adam,Carriker,DE,6'6,296,4.9,33.5,110,33,Nebraska,0,1,13
2007,Scott Chandler,Scott,Chandler,TE,6'7,270,4.78,30,111,16,Iowa,0,4,129
2007,Jeremy Clark,Jeremy,Clark,DT,6'3,309,5.02,29,104,29,,0,Undrafted,Undrafted
2007,Thomas Clayton,Thomas,Clayton,RB,5'10,218,4.63,36.5,121,23,Kansas State,0,6,186
