year,fullname,firstname,lastname,position,Height,weight,fortyyd,vertical,broad,bench,college,nflgrade,round,pick
2014,Lorenzo Taliaferro,Lorenzo,Taliaferro,RB,6'0,229,4.58,33,118,18,Coastal Carolina,5,4,138
2014,Khyri Thornton,Khyri,Thornton,DT,6'3,304,5.03,29,112,28,Southern Miss,5,3,85
2014,George Uko,George,Uko,DE,6'3,284,4.99,29.5,110,18,USC,5,Undrafted,Undrafted
2014,Keith Wenning,Keith,Wenning,QB,6'3,218,5,28,100,N/A,Ball St.,5,6,194
2014,Chris Whaley,Chris,Whaley,DT,6'3,269,N/A,N/A,N/A,N/A,Texas,5,Undrafted,Undrafted
2014,James White,James,White,RB,5'9,204,4.57,32,114,23,Wisconsin,5,4,130
2014,Damien Williams,Damien,Williams,RB,5'11,222,4.45,35.5,121,16,Oklahoma,5,Undrafted,Undrafted
2015,Neiron Ball,Neiron,Ball,OLB,6'2,236,N/A,N/A,N/A,22,Florida,4.9,5,161
2015,Da'Ron Brown,Da'Ron,Brown,WR,6'0,205,4.54,37,120,17,Northern Illinois,4.9,7,233
2015,Takoby Cofield,Takoby,Cofield,OT,6'4,310,5.19,30,101,23,Duke,4.9,Undrafted,Undrafted
2015,Justin Cox,Justin,Cox,FS,6'1,191,4.36,38,129,15,Mississippi St.,4.9,Undrafted,Undrafted
2015,Corey Crawford,Corey,Crawford,DE,6'5,283,5.01,33,110,N/A,Clemson,4.9,Undrafted,Undrafted
2015,Michael Dyer,Michael,Dyer,RB,5'8,218,4.58,34,120,26,Louisville,4.9,Undrafted,Undrafted
2015,Laurence Gibson,Laurence,Gibson,OT,6'6,305,5.04,33.5,113,24,Virginia Tech,4.9,7,243
2015,Anthony Jefferson,Anthony,Jefferson,CB,6'1,198,4.72,33.5,116,15,UCLA,4.9,Undrafted,Undrafted
2015,Gus Johnson,Gus,Johnson,RB,5'10,215,4.7,36.5,120,26,Stephen F. Austin,4.9,Undrafted,Undrafted
2015,Dean Marlowe,Dean,Marlowe,FS,6'1,203,4.58,33.5,114,16,James Madison,4.9,Undrafted,Undrafted
2015,J.J. Nelson,J.J.,Nelson,WR,5'10,156,4.28,36,127,N/A,UAB,4.9,Undrafted,Undrafted
2015,Tye Smith,Tye,Smith,CB,6'0,195,4.6,36.5,124,15,Towson,4.9,5,170
2014,Mo Alexander,Mo,Alexander,SS,6'1,220,4.54,38,123,N/A,Utah St.,4.9,Undrafted,Undrafted
2014,Corey Brown,Corey,Brown,WR,5'11,178,4.51,33,116,N/A,Ohio St.,4.9,Undrafted,Undrafted
2014,Kerry Hyder,Kerry,Hyder,DT,6'2,290,5.1,29.5,108,20,Texas Tech,4.9,Undrafted,Undrafted
2014,Tevin Mims,Tevin,Mims,DE,6'4,260,4.95,27.5,109,17,South Florida,4.9,Undrafted,Undrafted
2014,Matt Patchan,Matt,Patchan,OT,6'6,302,4.97,33.5,N/A,22,Boston College,4.9,3,64
2014,Tyler Starr,Tyler,Starr,OLB,6'4,250,4.95,32,116,24,South Dakota,4.9,7,255
2014,Avery Williamson,Avery,Williamson,ILB,6'1,246,4.66,30.5,120,25,Kentucky,4.9,5,151
2015,Brett Boyko,Brett,Boyko,OT,6'7,301,5.6,25,103,N/A,UNLV,4.8,Undrafted,Undrafted
2015,Kyle Brindza,Kyle,Brindza,K,6'1,236,N/A,N/A,N/A,14,Notre Dame,4.8,Undrafted,Undrafted
2015,Michael Burton,Michael,Burton,FB,5'11,242,4.74,33,115,25,Rutgers,4.8,5,168
2015,Frank Clark,Frank,Clark,DE,6'3,271,4.79,38.5,118,19,Michigan,4.8,2,63
2015,Cameron Clear,Cameron,Clear,TE,6'5,277,4.98,32,108,N/A,Texas A&M,4.8,Undrafted,Undrafted
2015,Yannik Cudjoe-Virgil,Yannik,Cudjoe-Virgil,OLB,6'2,248,N/A,N/A,N/A,25,Maryland,4.8,Undrafted,Undrafted
2015,Geremy Davis,Geremy,Davis,WR,6'2,216,N/A,36.5,124,23,Connecticut,4.8,6,186
2015,Jon Feliciano,Jon,Feliciano,OG,6'4,323,5.33,26.5,97,N/A,Miami,4.8,4,128
2015,Sam Ficken,Sam,Ficken,K,6'1,191,N/A,N/A,N/A,N/A,Penn St.,4.8,Undrafted,Undrafted
2015,Kenny Hilliard,Kenny,Hilliard,RB,6'0,226,4.83,27,111,N/A,LSU,4.8,7,235
2015,Joey Iosefa,Joey,Iosefa,RB,6'0,247,5.02,31.5,110,30,Hawaii,4.8,7,231
2015,Justin Manton,Justin,Manton,K,6'3,196,N/A,N/A,N/A,N/A,Louisiana-Monroe,4.8,Undrafted,Undrafted
2015,Keith Mumphery,Keith,Mumphery,WR,6'0,215,4.54,32.5,121,N/A,Michigan St.,4.8,5,175
2015,Jared Roberts,Jared,Roberts,K,6'1,210,N/A,N/A,N/A,N/A,Colorado St.,4.8,Undrafted,Undrafted
2015,Edmond Robinson,Edmond,Robinson,OLB,6'3,245,4.61,37,121,20,Newberry,4.8,7,232
2015,Ezell Ruffin,Ezell,Ruffin,WR,6'0,218,4.68,27.5,110,17,San Diego St.,4.8,Undrafted,Undrafted
2015,Eric Tomlinson,Eric,Tomlinson,TE,6'6,263,4.98,30.5,110,19,Texas-El Paso,4.8,Undrafted,Undrafted
2014,Conor Boffeli,Conor,Boffeli,OG,6'4,298,5.3,25,101,21,Iowa,4.8,Undrafted,Undrafted
2014,Steven Clark,Steven,Clark,P,6'5,231,N/A,N/A,N/A,N/A,Auburn,4.8,Undrafted,Undrafted
2014,Damian Copeland,Damian,Copeland,WR,5'11,184,4.5,40,120,12,Louisville,4.8,Undrafted,Undrafted
2014,Justin Ellis,Justin,Ellis,DT,6'1,334,5.27,28,92,25,Louisiana Tech,4.8,4,107
2014,Quincy Enunwa,Quincy,Enunwa,WR,6'2,225,4.45,N/A,N/A,19,Nebraska,4.8,6,209
2014,Timothy Flanders,Timothy,Flanders,RB,5'9,207,4.75,32,113,20,Sam Houston St.,4.8,Undrafted,Undrafted
2014,Nevin Lawson,Nevin,Lawson,CB,5'9,190,4.48,33,120,16,Utah St.,4.8,4,133
2014,Jordan Najvar,Jordan,Najvar,TE,6'6,256,4.93,32.5,112,18,Baylor,4.8,Undrafted,Undrafted
2014,D.J. Tialavea,D.J.,Tialavea,TE,6'3,267,N/A,N/A,N/A,N/A,Utah St.,4.8,Undrafted,Undrafted
2014,Dustin Vaughan,Dustin,Vaughan,QB,6'5,235,4.95,29,108,N/A,West Texas A&M,4.8,Undrafted,Undrafted
2014,Albert Wilson,Albert,Wilson,WR,5'9,202,4.43,37.5,123,10,Georgia State,4.8,Undrafted,Undrafted
2014,Anthony Denham,Anthony,Denham,TE,6'4,235,4.77,32.5,N/A,N/A,Utah,4.7,Undrafted,Undrafted
2014,Walt Powell,Walt,Powell,WR,5'11,189,4.63,31.5,120,10,Murray St.,4.7,6,196
2015,Julian Wilson,Julian,Wilson,CB,6'2,205,4.58,36,125,N/A,Oklahoma,4.6,Undrafted,Undrafted
2014,Matt Feiler,Matt,Feiler,OT,6'6,330,5.37,26.5,103,36,Bloomsburg,4.6,Undrafted,Undrafted
2014,Kevin Pierre-Louis,Kevin,Pierre-Louis,OLB,6'0,232,4.51,39,128,28,Boston College,4.6,4,132
2014,Kerry Wynn,Kerry,Wynn,DT,6'5,266,4.97,34,113,31,Richmond,4.6,Undrafted,Undrafted
2014,Phillip Gaines,Phillip,Gaines,CB,6'0,193,4.38,36.5,122,11,Rice,4.5,3,87
2014,Zach Hocker,Zach,Hocker,K,6'0,189,N/A,N/A,N/A,N/A,Arkansas,4.5,7,228
2014,Robert Thomas,Robert,Thomas,DT,6'1,327,N/A,N/A,N/A,32,Arkansas,4.5,1,31
2015,Bryan Bennett,Bryan,Bennett,QB,6'2,211,4.81,37,125,N/A,Southeastern Louisiana,0,Undrafted,Undrafted
2015,Joe Cardona,Joe,Cardona,LS,6'2,242,4.91,33,N/A,30,Navy,0,5,166
2015,Kyle Christy,Kyle,Christy,P,6'2,202,N/A,N/A,N/A,N/A,Florida,N/A,Undrafted,Undrafted
2015,Mario Edwards, Jr.,Mario,Edwards, Jr.'DT,3,N/A,4.55,7.44,32.5,32,0,2,35
2015,Dante Fowler, Jr.,Dante,Fowler, Jr.'OLB,3,N/A,4.32,7.4,32.5,19,0,1,3
2015,Will Johnson,Will,Johnson,P,6'2,206,N/A,N/A,N/A,N/A,Texas St.,N/A,5,138
2015,Christion Jones,Christion,Jones,WR,5'10,182,4.63,32.5,119,8,Alabama,0,Undrafted,Undrafted
2015,Josh Lambo,Josh,Lambo,K,6'0,216,N/A,N/A,N/A,N/A,Texas A&M,N/A,Undrafted,Undrafted
2015,Jerry Lovelocke,Jerry,Lovelocke,QB,6'4,248,4.99,31.5,113,N/A,Prairie View A&M,0,Undrafted,Undrafted
2015,Trevor Pardula,Trevor,Pardula,P,6'4,227,N/A,N/A,N/A,N/A,Kansas,N/A,Undrafted,Undrafted
2015,Randall Telfer,Randall,Telfer,TE,6'4,250,N/A,N/A,N/A,20,USC,N/A,6,198
2015,Zack Wagenmann,Zack,Wagenmann,DE,6'3,247,4.82,37.5,109,14,Montana,0,Undrafted,Undrafted
2015,Jermaine Whitehead,Jermaine,Whitehead,FS,5'11,197,4.59,37,128,15,Auburn,0,Undrafted,Undrafted
2013,Oday Aboushi,Oday,Aboushi,OT,6'5,308,5.45,23.5,100,17,Virginia,0,5,141
2013,Robert Alford,Robert,Alford,CB,5'10,188,4.39,40,132,17,Southeastern Louisiana,0,2,60
2013,Keenan Allen,Keenan,Allen,WR,6'2.5,206,4.71,N/A,N/A,N/A,California,N/A,3,76
2013,Zach Allen,Zach,Allen,OG,6'2,332,N/A,N/A,N/A,32,,N/A,Undrafted,Undrafted
2013,David Amerson,David,Amerson,CB,6'1,205,4.44,35.5,127,15,North Carolina State,0,2,51
2013,C.J. Anderson,C.J.,Anderson,RB,5'8,224,4.6,32,119,17,,0,Undrafted,Undrafted
2013,Ziggy Ansah,Ziggy,Ansah,DE,6'5.25,271,4.63,34.5,118,21,,0,Undrafted,Undrafted
2013,Marc Anthony,Marc,Anthony,CB,5'11,196,4.63,35,118,12,California,0,7,247
2013,Terron Armstead,Terron,Armstead,OT,6'5,306,4.71,34.5,112,31,Arkansas-Pine Bluff,0,3,75
2013,Tavon Austin,Tavon,Austin,WR,5'8,174,4.34,32,120,14,West Virginia,0,1,8
2013,Jeff Baca,Jeff,Baca,OG,6'3,302,5.03,26.5,100,N/A,UCLA,0,6,196
2013,Alvin Bailey,Alvin,Bailey,OG,6'3,312,4.95,N/A,N/A,27,,N/A,Undrafted,Undrafted
2013,Stedman Bailey,Stedman,Bailey,WR,5'10,193,4.52,34.5,117,11,West Virginia,0,3,92
2013,David Bakhtiari,David,Bakhtiari,OT,6'4,299,5.09,25.5,101,28,Colorado,0,4,109
2013,Montee Ball,Montee,Ball,RB,5'10,214,4.66,32,118,15,Wisconsin,0,2,58
2013,Johnthan Banks,Johnthan,Banks,CB,6'2,185,4.61,34,125,10,Mississippi State,0,2,43
2013,Chris Barker,Chris,Barker,OG,6'3,305,5.25,27.5,99,29,,0,Undrafted,Undrafted
2013,Kenjon Barner,Kenjon,Barner,RB,5'9,196,4.52,35.5,122,20,Oregon,0,6,182
2013,T.J. Barnes,T.J.,Barnes,DT,6'6,369,5.3,22,97,25,,0,Undrafted,Undrafted
2013,Sam Barrington,Sam,Barrington,ILB,6'1,246,4.91,32.5,117,22,,0,7,232
2013,David Bass,David,Bass,DE,6'3.75,262,4.84,30.5,110,20,Missouri Western,0,7,233
2013,Steve Beauharnais,Steve,Beauharnais,ILB,6'1,240,4.84,33,118,19,Rutgers,0,7,235
2013,Nick Becton,Nick,Becton,OT,6'5,323,5.2,29.5,109,19,,0,Undrafted,Undrafted
2013,LeVeon Bell,LeVeon,Bell,RB,6'1,230,4.6,31.5,118,24,Michigan State,0,Undrafted,Undrafted
2013,Giovani Bernard,Giovani,Bernard,RB,5'8,202,4.53,33.5,122,19,North Carolina,0,2,37
2013,Tommy Bohanon,Tommy,Bohanon,RB,6'1,246,4.88,35,119,36,Wake Forest,0,7,215
2013,Travis Bond,Travis,Bond,OG,6'6,329,5.27,22.5,98,22,North Carolina,0,7,214
2013,Alan Bonner,Alan,Bonner,WR,5'10,193,4.59,33,117,14,Jacksonville State,0,6,195
2013,Zach Boren,Zach,Boren,RB,5'11,238,5,32,109,25,,0,Undrafted,Undrafted
2013,Jonathan Bostic,Jonathan,Bostic,ILB,6'1,245,4.61,32.5,118,22,Florida,0,2,50
2013,Josh Boyce,Josh,Boyce,WR,5'11,206,4.38,34,131,22,TCU,0,4,102
2013,Josh Boyd,Josh,Boyd,DT,6'3,310,5.14,26.5,104,32,Mississippi State,0,5,167
2013,John Boyett,John,Boyett,FS,5'10,204,N/A,N/A,N/A,27,Oregon,N/A,6,192
2013,Tyler Bray,Tyler,Bray,QB,6'6,232,5.05,N/A,100,N/A,,N/A,Undrafted,Undrafted
2013,Arthur Brown,Arthur,Brown,OLB,6'0,241,4.58,32.5,116,21,Kansas State,0,2,56
2013,Braden Brown,Braden,Brown,OT,6'5,310,5.2,28,100,26,,0,Undrafted,Undrafted
2013,Armonty Bryant,Armonty,Bryant,DE,6'4.125,263,4.86,31.5,118,N/A,East Central Oklahoma,0,7,217
2013,Mike Buchanan,Mike,Buchanan,DE,6'5.125,255,4.78,33,113,22,,0,Undrafted,Undrafted
2013,Rex Burkhead,Rex,Burkhead,RB,5'10,214,4.73,39,125,21,Nebraska,0,6,190
2013,Colby Cameron,Colby,Cameron,QB,6'2,212,4.78,30.5,112,N/A,,0,Undrafted,Undrafted
2013,Tank Carradine,Tank,Carradine,DE,6'4,276,4.75,N/A,N/A,28,,N/A,2,40
2013,Braxston Cave,Braxston,Cave,OC,6'3,303,5.33,25.5,98,N/A,,0,Undrafted,Undrafted
2013,Emmett Cleary,Emmett,Cleary,OT,6'7,316,5.21,28.5,108,24,,0,Undrafted,Undrafted
2013,Jamie Collins,Jamie,Collins,DE,6'3,250,4.64,41.5,139,19,Southern Miss,0,2,52
2013,Sanders Commings,Sanders,Commings,CB,6'0,216,4.41,34.5,117,N/A,Georgia,0,5,134
2013,Jonathan Cooper,Jonathan,Cooper,OG,6'2,311,5.07,27,108,35,North Carolina,0,1,7
2013,Justice Cunningham,Justice,Cunningham,TE,6'3,258,4.94,31.5,116,N/A,South Carolina,0,7,254
2013,Johnathan Cyprien,Johnathan,Cyprien,SS,6'0,217,4.5,38.5,119,18,Florida International,0,Undrafted,Undrafted
2013,Knile Davis,Knile,Davis,RB,5'10,227,4.37,33.5,121,31,Arkansas,0,3,96
2013,Marcus Davis,Marcus,Davis,WR,6'3,233,4.56,39.5,120,19,,0,Undrafted,Undrafted
2013,Will Davis,Will,Davis,CB,5'11,186,4.51,35.5,127,16,Utah State,0,3,93
2013,Everett Dawkins,Everett,Dawkins,DT,6'2,292,5.06,30,103,23,Florida State,0,7,229
2013,Jordan Devey,Jordan,Devey,OT,6'7,317,5.25,24,98,21,,0,Undrafted,Undrafted
2013,Zac Dysert,Zac,Dysert,QB,6'3,231,N/A,N/A,N/A,N/A,Miami (OH),N/A,7,234
2013,Lavar Edwards,Lavar,Edwards,DE,6'3.75,277,4.8,33,119,N/A,LSU,0,5,142
2013,Tyler Eifert,Tyler,Eifert,TE,6'5,250,4.68,35.5,119,22,Notre Dame,0,1,21
2013,Matt Elam,Matt,Elam,SS,5'10,208,4.54,35.5,118,17,Florida,0,1,32
2013,Andre Ellington,Andre,Ellington,RB,5'9,199,4.61,34,122,N/A,Clemson,0,6,187
2013,Zach Ertz,Zach,Ertz,TE,6'5,249,4.76,30.5,111,24,Stanford,0,2,35
2013,Gavin Escobar,Gavin,Escobar,TE,6'6,254,4.84,32,114,N/A,San Diego State,0,2,47
2013,Josh Evans,Josh,Evans,FS,6'1,207,4.58,34.5,123,N/A,,0,6,169
2013,Chris Faulk,Chris,Faulk,OT,6'5,331,N/A,N/A,N/A,25,,N/A,Undrafted,Undrafted
2013,Joseph Fauria,Joseph,Fauria,TE,6'7,259,4.72,35.5,120,17,,0,Undrafted,Undrafted
2013,Eric Fisher,Eric,Fisher,OT,6'7,306,5.05,28.5,116,27,Central Michigan,0,1,1
2013,Sharrif Floyd,Sharrif,Floyd,DT,6'3,297,4.92,30,106,N/A,Florida,0,1,23
2013,D.J. Fluker,D.J.,Fluker,OT,6'5,339,5.31,N/A,N/A,21,Alabama,N/A,1,11
2013,Manase Foketi,Manase,Foketi,OT,6'5,318,N/A,23.5,102,25,,0,Undrafted,Undrafted
2013,Michael Ford,Michael,Ford,RB,5'9,210,4.5,38.5,130,25,,0,Undrafted,Undrafted
2013,Reid Fragel,Reid,Fragel,OT,6'8,308,5.14,30,113,33,Ohio State,0,7,240
2013,Johnathan Franklin,Johnathan,Franklin,RB,5'10,205,4.49,31.5,115,18,UCLA,0,4,125
2013,Travis Frederick,Travis,Frederick,OC,6'4,312,5.58,28.5,97,21,Wisconsin,0,1,31
2013,Corey Fuller,Corey,Fuller,WR,6'2,204,4.43,31.5,120,12,Virginia Tech,0,6,171
2013,Matt Furstenburg,Matt,Furstenburg,TE,6'3,242,4.62,35.5,115,18,,0,Undrafted,Undrafted
2013,Rogers Gaines,Rogers,Gaines,OT,6'6,334,5.24,23,N/A,28,,0,Undrafted,Undrafted
2013,Kwame Geathers,Kwame,Geathers,DT,6'5,342,5.44,26.5,96,N/A,,0,Undrafted,Undrafted
2013,William Gholston,William,Gholston,DE,6'6,281,4.96,28.5,110,23,Michigan State,0,4,126
2013,Garrett Gilkey,Garrett,Gilkey,OT,6'6,318,5.33,30,108,28,Chadron State,0,7,227
2013,Mike Gillislee,Mike,Gillislee,RB,5'11,208,4.55,30.5,119,15,Florida,0,5,164
2013,Mike Glennon,Mike,Glennon,QB,6'7,225,4.94,26.5,102,N/A,North Carolina State,0,3,73
2013,Tyrone Goard,Tyrone,Goard,WR,6'7,205,4.5,36,123,10,,0,Undrafted,Undrafted
2013,Zaviar Gooden,Zaviar,Gooden,OLB,6'1,234,4.47,34,131,27,Missouri,0,3,97
2013,Malliciah Goodman,Malliciah,Goodman,DE,6'3.625,276,4.87,31,114,26,Clemson,0,4,127
2013,Marquise Goodwin,Marquise,Goodwin,WR,5'9,183,4.27,N/A,132,13,Texas,N/A,3,78
2013,Chris Gragg,Chris,Gragg,TE,6'3,244,4.5,37.5,125,18,Arkansas,0,7,222
2013,Ray Graham,Ray,Graham,RB,5'9,199,4.8,32.5,112,18,,0,Undrafted,Undrafted
2013,Dwayne Gratz,Dwayne,Gratz,CB,5'11,201,4.47,38,125,22,Connecticut,0,3,64
2013,Marqueis Gray,Marqueis,Gray,QB,6'3,240,4.73,30,111,15,,0,Undrafted,Undrafted
2013,Khaseem Greene,Khaseem,Greene,OLB,6'1,241,4.71,30,116,17,Rutgers,0,4,117
2013,Cory Grissom,Cory,Grissom,DT,6'1,306,5.31,27.5,97,22,,0,Undrafted,Undrafted
2013,Cobi Hamilton,Cobi,Hamilton,WR,6'2,212,4.56,29.5,107,11,Arkansas,0,6,197
2013,Johnathan Hankins,Johnathan,Hankins,DT,6'3,320,5.31,26,104,N/A,Ohio State,0,2,49
2013,Chris Harper,Chris,Harper,WR,6'1,229,4.55,35.5,116,20,Kansas State,0,4,123
2013,D.J. Harper,D.J.,Harper,RB,5'9,211,4.52,33.5,120,23,,0,Undrafted,Undrafted
2013,Montel Harris,Montel,Harris,RB,5'8,208,4.68,32.5,113,19,,0,Undrafted,Undrafted
2013,Mark Harrison,Mark,Harrison,WR,6'3,231,4.46,38.5,129,17,,0,Undrafted,Undrafted
2013,Tanner Hawkinson,Tanner,Hawkinson,OT,6'5,298,5.07,28.5,112,N/A,Kansas,0,5,156
2013,Terry Hawthorne,Terry,Hawthorne,CB,6'0,195,4.44,35.5,116,13,Illinois,0,5,150
2013,D.J. Hayden,D.J.,Hayden,CB,5'11.125,191,4.42,N/A,N/A,N/A,Houston,N/A,1,12
2013,Brandon Hepburn,Brandon,Hepburn,ILB,6'2,240,4.68,32,124,21,Florida A&M,0,7,245
2013,Eric Herman,Eric,Herman,OG,6'4,320,5.25,28,95,36,Ohio,0,7,225
2013,Jordan Hill,Jordan,Hill,DT,6'1,303,5.23,22.5,103,28,Penn State,0,3,87
2013,Michael Hill,Michael,Hill,RB,5'10.125,209,4.6,37.5,124,23,,0,Undrafted,Undrafted
2013,Gerald Hodges,Gerald,Hodges,OLB,6'1,243,4.78,N/A,119,22,Penn State,N/A,4,120
2013,Devonte Holloman,Devonte,Holloman,OLB,6'1,243,4.76,33,113,15,South Carolina,0,6,185
2013,Khaled Holmes,Khaled,Holmes,OC,6'3,302,N/A,N/A,N/A,13,USC,N/A,4,121
2013,Deandre Hopkins,Deandre,Hopkins,WR,6'1,214,4.57,36,115,15,Clemson,0,1,27
2013,Montori Hughes,Montori,Hughes,DT,6'4,329,5.23,26.5,104,22,Tennessee-Martin,0,5,139
2013,Margus Hunt,Margus,Hunt,DE,6'8.25,277,4.6,34.5,121,38,Southern Methodist,0,2,53
2013,Justin Hunter,Justin,Hunter,WR,6'4,196,4.44,39.5,136,N/A,Tennessee,0,2,34
2013,Micah Hyde,Micah,Hyde,CB,6'0,197,4.56,33,121,12,Iowa,0,5,159
2013,Mark Jackson,Mark,Jackson,OG,6'5,328,5.65,20.5,91,20,,0,6,161
2013,Mike James,Mike,James,RB,5'10,223,4.53,35,115,28,Miami (FL),0,6,189
2013,Jawan Jamison,Jawan,Jamison,RB,5'7,203,4.68,29,110,20,Rutgers,0,7,228
2013,D.C. Jefferson,D.C.,Jefferson,TE,6'6,255,4.88,N/A,N/A,3,Rutgers,N/A,7,219
2013,Stefphon Jefferson,Stefphon,Jefferson,RB,5'10,213,4.68,31,117,15,,0,Undrafted,Undrafted
2013,Tony Jefferson,Tony,Jefferson,FS,5'11,213,4.75,N/A,N/A,16,,N/A,Undrafted,Undrafted
2013,Brandon Jenkins,Brandon,Jenkins,DE,6'2,251,5.07,N/A,N/A,18,Florida State,N/A,5,162
2013,Jelani Jenkins,Jelani,Jenkins,OLB,6'0,243,N/A,N/A,N/A,27,Florida,N/A,4,104
2013,John Jenkins,John,Jenkins,DT,6'4,346,5.2,24.5,N/A,30,Georgia,0,3,82
2013,Luke Joeckel,Luke,Joeckel,OT,6'6,306,5.3,28.5,106,27,Texas A&M,0,1,2
2013,Charles Johnson,Charles,Johnson,WR,6'2,215,4.39,39.5,133,14,Grand Valley State,0,7,216
2013,Darius Johnson,Darius,Johnson,WR,5'9,179,4.6,32,109,6,,0,Undrafted,Undrafted
2013,Keelan Johnson,Keelan,Johnson,SS,6'0,209,4.54,36.5,125,12,,0,Undrafted,Undrafted
2013,Lane Johnson,Lane,Johnson,OT,6'6,303,4.72,34,118,28,Oklahoma,0,1,4
2013,Nico Johnson,Nico,Johnson,OLB,6'2,248,4.75,N/A,N/A,N/A,Alabama,N/A,4,99
2013,Oscar Johnson,Oscar,Johnson,OT,6'5,331,5.49,22,88,N/A,,0,Undrafted,Undrafted
2013,T.J. Johnson,T.J.,Johnson,OC,6'4,310,5.33,25.5,96,32,South Carolina,0,7,251
2013,Jamaal Johnson-Webb,Jamaal,Johnson-Webb,OT,6'5,313,5.37,23,92,17,,0,Undrafted,Undrafted
2013,Abry Jones,Abry,Jones,DT,6'3,313,N/A,26.5,101,30,,0,Undrafted,Undrafted
2013,Chris Jones,Chris,Jones,DT,6'2,302,5.33,N/A,N/A,30,,N/A,6,198
2013,Datone Jones,Datone,Jones,DE,6'4.25,283,4.8,31.5,112,29,UCLA,0,1,26
2013,Jarvis Jones,Jarvis,Jones,OLB,6'2,242,4.92,30.5,117,16,Georgia,0,1,17
2013,Landry Jones,Landry,Jones,QB,6'4,225,5.11,31,115,N/A,Oklahoma,0,4,115
2013,Dion Jordan,Dion,Jordan,DE,6'6.25,248,4.6,32.5,122,N/A,Oregon,0,1,3
2013,Nick Kasa,Nick,Kasa,TE,6'6,269,4.71,31.5,113,22,Colorado,0,6,172
2013,Brandon Kaufman,Brandon,Kaufman,WR,6'5,216,4.67,33.5,115,9,,0,Undrafted,Undrafted
2013,Tavarres King,Tavarres,King,WR,6'0,189,4.47,36.5,123,11,Georgia,0,5,161
2013,A.J. Klein,A.J.,Klein,ILB,6'1,250,4.66,N/A,113,20,Iowa State,N/A,5,148
2013,Collin Klein,Collin,Klein,QB,6'5,226,4.78,29,111,N/A,,0,Undrafted,Undrafted
2013,Joe Kruger,Joe,Kruger,DE,6'6,269,4.83,34,117,24,Utah,0,7,212
2013,Edmund Kugbila,Edmund,Kugbila,OG,6'4,317,5.31,22.5,105,23,Valdosta State,0,4,108
2013,Eddie Lacy,Eddie,Lacy,RB,5'11,231,4.58,N/A,N/A,N/A,Alabama,N/A,2,61
2013,Marcus Lattimore,Marcus,Lattimore,RB,5'11,221,N/A,N/A,N/A,N/A,South Carolina,N/A,4,131
2013,Alec Lemon,Alec,Lemon,WR,6'1,202,4.59,32,112,7,,0,Undrafted,Undrafted
2013,Corey Lemonier,Corey,Lemonier,DE,6'3,255,4.6,33,119,27,Auburn,0,3,88
2013,Robert Lester,Robert,Lester,SS,6'1,220,4.66,33.5,117,N/A,,0,Undrafted,Undrafted
2013,Zach Line,Zach,Line,RB,6'0,232,4.77,30.5,111,26,,0,Undrafted,Undrafted
2013,Bennie Logan,Bennie,Logan,DT,6'2,309,N/A,25,104,30,LSU,0,3,67
2013,P.J. Lonergan,P.J.,Lonergan,OC,6'3,304,5.38,N/A,N/A,25,,N/A,Undrafted,Undrafted
2013,Kyle Long,Kyle,Long,OG,6'6,313,4.94,28,107,N/A,Oregon,0,1,20
2013,John Lotulelei,John,Lotulelei,OLB,5'11,233,4.84,35.5,117,25,,0,Undrafted,Undrafted
2013,Philip Lutzenkirchen,Philip,Lutzenkirchen,TE,6'3,258,4.94,30.5,112,21,,0,Undrafted,Undrafted
2013,Joe Madsen,Joe,Madsen,OC,6'3,310,5.2,25,98,25,,0,Undrafted,Undrafted
2013,Lamar Mady,Lamar,Mady,OG,6'2,317,5.48,23,95,35,,0,Undrafted,Undrafted
2013,Brandon Magee,Brandon,Magee,OLB,5'11,223,4.74,N/A,114,N/A,,N/A,Undrafted,Undrafted
2013,E.J. Manuel,E.J.,Manuel,QB,6'4.625,237,4.65,34,118,N/A,,0,Undrafted,Undrafted
2013,Stansly Maponga,Stansly,Maponga,DE,6'2,256,4.81,N/A,N/A,30,TCU,N/A,5,153
2013,Luke Marquardt,Luke,Marquardt,OT,6'8,315,N/A,N/A,N/A,31,,N/A,Undrafted,Undrafted
2013,Tyrann Mathieu,Tyrann,Mathieu,CB,5'9,186,4.5,34,117,4,LSU,0,3,69
2013,Michael Mauti,Michael,Mauti,ILB,6'2,243,N/A,N/A,N/A,28,Penn State,N/A,7,213
2013,Miguel Maysonet,Miguel,Maysonet,RB,5'9,209,4.45,31.5,107,20,,0,Undrafted,Undrafted
2013,Onterio McCalebb,Onterio,McCalebb,RB,5'10,168,4.34,34,121,N/A,,0,Undrafted,Undrafted
2013,Demetrius McCray,Demetrius,McCray,CB,6'1,187,4.54,36,126,4,Appalachian State,0,7,210
2013,T.J. McDonald,T.J.,McDonald,SS,6'2,219,4.59,40,131,19,USC,0,3,71
2013,Vance McDonald,Vance,McDonald,TE,6'4,267,4.69,33.5,119,31,Rice,0,2,55
2013,Bradley McDougald,Bradley,McDougald,FS,6'0,215,4.74,34.5,122,19,,0,Undrafted,Undrafted
2013,Leon McFadden,Leon,McFadden,CB,5'10,193,4.54,34.5,119,10,San Diego State,0,3,68
2013,Brandon McGee,Brandon,McGee,CB,5'11,193,4.4,33.5,119,14,Miami (FL),0,5,149
